연도,순위,이름,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2016,9,송창현,5.06,11,0,0,0,0,-,10 2/3,9,0,6,0,11,6,6,1.41,0,0,0,0,46,185,0.225,2,0,0,0,0,1,0
2016,10,이동걸,5.40,5,0,0,0,0,-,5,6,2,2,0,1,3,3,1.60,0,0,0,0,23,80,0.286,1,0,0,0,0,1,0
2016,11,박정진,5.57,77,4,4,0,6,0.500,84,96,11,33,2,85,58,52,1.54,0,0,0,1,374,1560,0.292,14,1,7,3,2,9,0
2016,12,심수창,5.96,66,5,5,2,6,0.500,113 1/3,138,14,58,4,76,86,75,1.73,0,0,0,0,529,2029,0.307,23,1,12,6,2,6,0
2016,13,이재우,6.04,15,0,1,0,0,0.000,25 1/3,34,9,14,3,18,20,17,1.89,0,0,0,0,122,458,0.333,5,1,1,2,1,0,0
2016,14,서캠프,6.31,17,2,5,1,0,0.286,41 1/3,54,5,17,5,36,32,29,1.72,0,0,1,1,194,744,0.320,9,0,2,1,0,2,0
2016,15,송은범,6.42,30,2,11,0,1,0.154,122,159,13,49,5,85,95,87,1.70,0,0,4,0,562,2176,0.321,21,1,5,7,1,11,0
2016,16,카스티요,6.43,20,7,4,0,0,0.636,84,106,7,40,10,60,62,60,1.74,0,0,5,1,393,1515,0.313,14,0,3,1,0,4,0
2016,17,윤규진,6.82,41,7,7,1,3,0.500,100 1/3,125,19,54,8,74,78,76,1.78,0,0,2,0,472,1819,0.316,16,2,9,6,3,4,0
2016,18,정재원,7.59,14,0,0,0,0,-,21 1/3,28,2,9,1,16,19,18,1.73,0,0,0,0,102,373,0.311,7,0,0,2,1,3,0
2016,19,김경태,7.71,10,0,0,0,0,-,11 2/3,17,2,9,0,12,10,10,2.23,0,0,0,0,58,242,0.347,3,0,0,0,0,1,0
2016,20,마에스트리,9.42,9,2,2,0,0,0.500,28 2/3,37,4,34,1,23,37,30,2.48,0,0,2,0,157,670,0.316,1,2,3,2,0,6,0
2016,21,김범수,9.53,5,1,0,0,0,1.000,5 2/3,6,1,6,1,5,6,6,2.12,0,0,0,0,30,117,0.261,2,0,0,0,0,2,0
2016,22,김용주,9.77,17,0,2,0,0,0.000,15 2/3,19,2,15,0,12,18,17,2.17,0,0,0,0,79,312,0.311,2,0,1,2,0,1,0
2016,23,김재영,10.32,11,0,0,0,0,-,11 1/3,18,2,8,3,4,14,13,2.29,0,0,0,0,58,202,0.391,3,0,0,1,0,0,0
2016,24,김민우,15.83,5,0,3,0,0,0.000,9 2/3,21,2,8,0,7,18,17,3.00,0,0,0,0,56,237,0.447,2,0,1,0,0,1,0
2016,25,안영명,20.25,2,0,1,0,0,0.000,2 2/3,9,0,4,0,1,10,6,4.88,0,0,0,0,22,77,0.529,3,0,0,1,0,0,0
2016,26,황재규,24.55,2,0,0,0,0,-,3 2/3,10,1,2,1,2,11,10,3.27,0,0,0,0,24,87,0.500,1,0,0,1,0,0,0
2017,1,김경태,1.42,19,1,0,0,6,1.000,12 2/3,12,0,9,2,17,3,2,1.66,0,0,0,0,58,264,0.261,1,0,1,0,0,3,0
2017,2,정우람,2.75,56,6,4,26,0,0.600,59,47,5,19,4,78,20,18,1.12,0,0,0,5,247,1028,0.214,10,0,3,1,2,5,0
2017,3,정재원,3.43,14,0,2,0,1,0.000,21,23,0,11,5,9,12,8,1.62,0,0,0,1,99,377,0.284,4,0,1,1,0,2,0
2017,4,오간도,3.93,19,10,5,0,0,0.667,110,115,8,30,11,74,53,48,1.32,0,0,10,0,475,1828,0.270,14,0,5,3,0,6,1
2017,5,박정진,3.94,55,3,2,1,7,0.600,48,38,6,24,3,51,28,21,1.29,0,0,0,0,205,858,0.222,6,0,4,3,0,3,0
2017,6,박상원,4.15,18,0,0,0,1,-,21 2/3,19,3,7,0,13,10,10,1.20,0,0,0,0,87,317,0.241,2,0,1,0,0,2,0
